



<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
                          Lo¿a Szyderców and Company                          
                                 PRZEDSTAWIA                                  
                 Transformacja wielomianowa trzeciego stopnia                 
Wykonali:
in¿. Damian Ozga
in¿. Kamil Olko
                                   AGH 2020                                   
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
*******************************************************************************
                              PUNKTY DOSTOSOWANIE                              
*******************************************************************************

Nr     X_pier[pix]  Y_pier[pix]  X_wt[mm]     Y_wt[mm]     Vx[mm]    Vy[mm]   
8_3    40.00        70.00        40.04        70.58        0.042     0.581    
8_2    20.00        70.00        19.88        69.94        -0.125    -0.062   
8_1    0.00         70.00        -0.14        70.02        -0.141    0.020    
9_9    160.00       80.00        159.97       80.14        -0.031    0.136    
9_8    140.00       80.00        139.94       80.18        -0.060    0.175    
9_7    120.00       80.00        120.05       79.51        0.054     -0.492   
9_6    100.00       80.00        99.94        79.89        -0.064    -0.107   
9_5    80.00        80.00        80.31        79.68        0.305     -0.316   
9_4    60.00        80.00        60.06        79.70        0.058     -0.303   
9_3    40.00        80.00        40.33        80.12        0.333     0.115    
9_2    20.00        80.00        19.79        80.06        -0.206    0.057    
9_1    0.00         80.00        0.10         79.94        0.104     -0.058   
10_9   160.00       90.00        159.72       90.23        -0.283    0.230    
10_8   140.00       90.00        140.06       89.88        0.055     -0.116   
10_7   120.00       90.00        119.81       89.71        -0.189    -0.286   
10_6   100.00       90.00        99.62        89.84        -0.382    -0.163   
10_5   80.00        90.00        80.16        89.77        0.165     -0.233   
10_4   60.00        90.00        60.05        89.79        0.054     -0.207   
10_3   40.00        90.00        39.88        89.56        -0.123    -0.440   
10_2   20.00        90.00        19.86        90.05        -0.145    0.052    
10_1   0.00         90.00        0.11         89.71        0.115     -0.293   
11_9   160.00       100.00       160.05       99.61        0.054     -0.389   
11_8   140.00       100.00       139.69       100.10       -0.306    0.098    
11_7   120.00       100.00       119.74       99.91        -0.263    -0.086   
11_6   100.00       100.00       99.70        99.81        -0.296    -0.191   
11_5   80.00        100.00       80.05        99.90        0.052     -0.095   
11_4   60.00        100.00       60.00        99.94        0.002     -0.057   
11_3   40.00        100.00       40.24        99.83        0.236     -0.169   
11_2   20.00        100.00       20.09        100.01       0.089     0.013    
11_1   0.00         100.00       -0.12        100.02       -0.122    0.017    
12_9   160.00       110.00       160.29       109.88       0.292     -0.119   
12_8   140.00       110.00       140.23       110.07       0.226     0.075    
12_7   120.00       110.00       120.20       110.85       0.198     0.846    
12_6   100.00       110.00       99.90        110.20       -0.102    0.204    
12_5   80.00        110.00       79.96        109.90       -0.040    -0.102   
12_4   60.00        110.00       60.22        109.64       0.225     -0.364   
12_3   40.00        110.00       40.18        110.25       0.179     0.249    
12_2   20.00        110.00       19.83        110.06       -0.169    0.056    
12_1   0.00         110.00       -0.18        110.34       -0.178    0.341    

*******************************************************************************
                            PARAMETRY TRANSFORMACJI                            
*******************************************************************************

a0 = -87.0247681         m_a0 = 0.7966104           
a1 = 0.5653993           m_a1 = 0.0054097           
a2 = 0.1047921           m_a2 = 0.0047974           
a3 = -0.0002378          m_a3 = 0.0000119           
a4 = -0.0006120          m_a4 = 0.0000128           
a5 = -0.0002063          m_a5 = 0.0000171           
a6 = -0.0000000          m_a6 = 0.0000000           
a7 = 0.0000005           m_a7 = 0.0000000           
a8 = 0.0000005           m_a8 = 0.0000000           
a9 = 0.0000000           m_a9 = 0.0000000           
b0 = -32.2189250         m_b0 = 0.7966104           
b1 = 0.1123521           m_b1 = 0.0054097           
b2 = 0.4383006           m_b2 = 0.0047974           
b3 = -0.0003836          m_b3 = 0.0000119           
b4 = -0.0001652          m_b4 = 0.0000128           
b5 = -0.0003753          m_b5 = 0.0000171           
b6 = 0.0000005           m_b2 = 0.0000000           
b7 = -0.0000000          m_b3 = 0.0000000           
b8 = 0.0000000           m_b4 = 0.0000000           
b9 = 0.0000005           m_b5 = 0.0000000           

*******************************************************************************
                               OCENA DOK£ADNOŒCI                               
*******************************************************************************

Proces transformacji:
m0=0.29160             
mx=0.22390             
my=0.32028             
RMS_x=0.21328             
RMS_y=0.30509             

Odchylenia standardowe wartoœci œrednich poprawek:
Sigma srednie_vx=0.21427             
Sigma srednie_vy=0.30652             
1.98*sigma sr_vx = 0.42426             
1.98*sigma sr_vy = 0.60690             

Wartoœci maksymalne i minimalne poprawek:
Vx_min = -0.77303            
Vx_max = 0.56522             
Vy_min = -1.57323            
Vy_max = 0.84574             

Test Blanda - Altmana:

Oœ X:
Vx_min < -1.98*sigma_œr_Vx
Vx_max < 1.98*sigma_œr_Vx
Oœ X nie spe³nia testu

Oœ Y
Vx_min < 1.98*sigma_œr_Vx
Vx_max < 1.98*sigma_œr_Vx
Oœ Y nie spe³nia testu

<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
                      Data wykonania 07.07.2020 18:46:54
<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
